org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
Manir LLC,3,5032,0.000596,3.0,2579.9431161284447,0.001163,[60389],['RU'],['Finance and Insurance'],"['Banks, Credit Card Companies, Mortgage Providers']"
RoyaleHosting BV,3,5032,0.000596,3.0,2579.9431161284447,0.001163,[212477],['NL'],['Computer and Information Technology'],['None']
STARK INDUSTRIES SOLUTIONS LTD,3,5032,0.000596,3.0,2579.9431161284447,0.001163,[44477],['GB'],['Manufacturing'],"['Metal, Glass, Wood, and Paper Manufacturing']"
GalaxyStar LLC,3,5032,0.000596,3.0,2579.9431161284447,0.001163,[206873],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Citytelecom LLC,3,5032,0.000596,3.0,2579.9431161284447,0.001163,[3175],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SpectraIP B.V.,3,5032,0.000596,3.0,2579.9431161284447,0.001163,[62068],['NL'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
JSC IOT,3,5032,0.000596,3.0,2579.9431161284447,0.001163,[29182],['RU'],['Computer and Information Technology'],['None']
Sole trader Malkov Dmitrii Vladimirovich,3,5032,0.000596,3.0,2579.9431161284447,0.001163,[48108],['RU'],['Computer and Information Technology'],['None']
I-SERVERS LTD,3,5032,0.000596,3.0,2579.9431161284447,0.001163,[209641],['GB'],['Education and Research'],['None']
NETSYST SAS,3,5032,0.000596,3.0,2579.9431161284447,0.001163,[209097],['FR'],['Computer and Information Technology'],['Software Development']
William Weber,4,5032,0.000795,2.125,2579.9431161284447,0.000824,[205432],['HR'],['Manufacturing'],['Chemical and Pharmaceutical Manufacturing']
ServerGurus UG,4,5032,0.000795,2.000031,2579.9431161284447,0.000775,[211083],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Comfortel Ltd.,3,5032,0.000596,2.000015,2579.9431161284447,0.000775,[56534],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Malkov D.V.,3,5032,0.000596,2.000015,2579.9431161284447,0.000775,[212521],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Sprint,2,5032,0.000397,2.0,2579.9431161284447,0.000775,[1239],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
DNS0.EU A.D.,2,5032,0.000397,2.0,2579.9431161284447,0.000775,[50902],['FR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Scalaxy B.V.,2,5032,0.000397,2.0,2579.9431161284447,0.000775,[58061],['LV'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Al Asmary Abdullah Ibrahim A,2,5032,0.000397,2.0,2579.9431161284447,0.000775,[210499],['SA'],['Computer and Information Technology'],['Software Development']
"nextdns, Inc.",2,5032,0.000397,2.0,2579.9431161284447,0.000775,[34939],['US'],['Computer and Information Technology'],['None']
Maximilian Jacobsen,2,5032,0.000397,2.0,2579.9431161284447,0.000775,[206075],['DE'],['Computer and Information Technology'],['None']
Overweb Srl,2,5032,0.000397,2.0,2579.9431161284447,0.000775,[42692],['IT'],['None'],['None']
JSC Intellin,2,5032,0.000397,2.0,2579.9431161284447,0.000775,[203498],['RU'],['Computer and Information Technology'],['None']
Julian Lannert,2,5032,0.000398,2.0,2579.9431161284447,0.000776,"[62075, 50395]",['DE'],['Finance and Insurance'],"['Investment, Portfolio Management, Pensions and Funds']"
"Fastly, Inc.",153,5032,0.030405,1.439941,2579.9431161284447,0.000558,[54113],['US'],['Computer and Information Technology'],['Software Development']
"DESIS INFORMATICA, SL",18,5032,0.003577,1.066406,2579.9431161284447,0.000413,[202503],['ES'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
PT Atharva Telematika Persada,3,5032,0.000596,1.062515,2579.9431161284447,0.000412,[150249],['ID'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
WorldStream B.V.,2,5032,0.000397,1.003906,2579.9431161284447,0.000389,[49981],['NL'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
LEASEWEB UK LIMITED,4,5032,0.000795,1.000046,2579.9431161284447,0.000388,[205544],['GB'],['Computer and Information Technology'],['None']
Benjamin Cartwright-Cox,3,5032,0.000596,1.000031,2579.9431161284447,0.000388,[204318],['GB'],['None'],['None']
NTX Technologies s.r.o.,2,5032,0.000397,1.000015,2579.9431161284447,0.000388,[50113],['CZ'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Ilm-Provider UG (haftungsbeschraenkt),1,5032,0.000199,1.0,2579.9431161284447,0.000388,[196968],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
JSC Alma Telecommunications,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[39824],['KZ'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
B2 Net Solutions Inc.,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[55286],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Oitis Com Oy,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[207729],['FI'],['Computer and Information Technology'],['Software Development']
Orange S.A.,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[5511],['FR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SatGate LLC,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[30721],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Otaverkko Oy,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[12630],['FI'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
PJSC Rostelecom,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[21378],['RU'],['Computer and Information Technology'],['None']
hkgo LLC,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[945],['TW'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Wu Zhiyuan,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[209650],['CN'],['Education and Research'],['None']
Ivo Hazmuk,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[203299],['CZ'],['Construction and Real Estate'],['Real Estate (Residential and/or Commercial)']
IPXO LIMITED,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[206150],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Arcus Novus UAB,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[51259],['LT'],['Manufacturing'],['Electronics and Computer Components']
ZCOM.cz s.r.o,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[206548],['CZ'],['Computer and Information Technology'],['Software Development']
web2objects GmbH,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[50495],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Plus.line AG,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[12306],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
ORNE THD SPL,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[41114],['FR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Joint-Stock Company Investpribor,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[49779],['RU'],['Construction and Real Estate'],"['Civil Engineering Construction (Utility Lines, Roads and Bridges)']"
SYN LTD,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[64080],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Planisware Singapore Pte. Ltd,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[150347],['SG'],['Computer and Information Technology'],['Software Development']
Modesco LLC,1,5032,0.000199,1.0,2579.9431161284447,0.000388,[56434],['RU'],['Education and Research'],['Elementary and Secondary Schools']
