org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
ETISALAT MISR,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[36992],['EG'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
RODRIGUEZ PEDRO ALBERTO JUAN,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[271991],['AR'],['None'],['None']
Modesco LLC,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[56434],['RU'],['Education and Research'],['Elementary and Secondary Schools']
BAI Communications Inc.,1,4366,0.000229,1.0,1393.4837651848793,0.000718,[396113],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Rohmad Kumiadin,125,4366,0.02863,0.601807,1393.4837651848793,0.000432,[210842],['ID'],['None'],['None']
FranTech Solutions,5,4366,0.001145,0.3125,1393.4837651848793,0.000224,[53667],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Differ Communications Limited,1,4366,0.000229,0.0625,1393.4837651848793,4.5e-05,[399558],['CA'],['Construction and Real Estate'],['None']
Hurricane Electric LLC,1,4366,0.000229,0.0625,1393.4837651848793,4.5e-05,[6939],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Baoshuo Network,1,4366,0.000229,0.0625,1393.4837651848793,4.5e-05,[151814],['CN'],['None'],['None']
Bharti Airtel Limited,165,4366,0.037792,0.039597,1393.4837651848793,2.8e-05,[45609],['IN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Akamai International B.V.,10,4366,0.00229,0.039062,1393.4837651848793,2.8e-05,[33905],['NL'],"['Media, Publishing, and Broadcasting']",['Online Music and Video Streaming Services']
Phan Nhat Nghi,9,4366,0.002061,0.035156,1393.4837651848793,2.5e-05,[199925],['VG'],['Construction and Real Estate'],['Other']
"Amazon.com, Inc.",1188,4366,0.272103,0.020416,1393.4837651848793,1.5e-05,[16509],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
"Akamai Technologies, Inc.",1141,4366,0.26133799999999996,0.017395,1393.4837651848793,1.2e-05,"[36183, 16625]",['US'],['Computer and Information Technology'],['Computer and Network Security']
Cogent Communications,6,4366,0.001374,0.015656,1393.4837651848793,1.1e-05,[174],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
KIRILL ZINOV,4,4366,0.000916,0.015625,1393.4837651848793,1.1e-05,[199186],['RU'],['None'],['None']
"Cloudflare, Inc.",248,4366,0.056803,0.009964,1393.4837651848793,7e-06,[13335],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
BWE CAPITAL LIMITED,2,4366,0.000458,0.007812,1393.4837651848793,6e-06,[197730],['VG'],['None'],['None']
POLONETWORK LIMITED,14,4366,0.003207,0.006851,1393.4837651848793,5e-06,[151338],['HK'],['Construction and Real Estate'],['Buildings (Residential or Commercial)']
Infosimples Ltda.,13,4366,0.002978,0.006836,1393.4837651848793,5e-06,[270410],['BR'],['Education and Research'],"['Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)']"
Developed Methods LLC,41,4366,0.009391,0.004517,1393.4837651848793,3e-06,[400519],['US'],['Service'],['Other']
Tianhong Peng,2,4366,0.000458,0.003922,1393.4837651848793,3e-06,[200021],['CN'],['None'],['None']
AKILE LTD,2,4366,0.000458,0.003922,1393.4837651848793,3e-06,[61112],['GB'],"['Media, Publishing, and Broadcasting']",['Online Informational Content']
Free Range Cloud Hosting Inc.,2,4366,0.000458,0.003922,1393.4837651848793,3e-06,[53356],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Hytron Network Services Limited,2,4366,0.000458,0.003921,1393.4837651848793,3e-06,"[151407, 202662]",['HK'],['None'],['None']
Claro NXT Telecomunicacoes Ltda,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[28573],['BR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Portland Internet Hosting LLC,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[36791],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
CMC Telecom Infrastructure Company,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[38732],['VN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Lilith Network INC.,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[202528],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Adrian Paschkowski,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[205987],['DE'],"['Retail Stores, Wholesale, and E-commerce Sites']",['Other']
Web Werks,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[33480],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Web42 Solutions Ltd,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[202990],['GB'],['Computer and Information Technology'],['Hosting and Cloud Provider']
SteveYi Experiment Network,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[141173],['TW'],['Education and Research'],['None']
PaoPaoYu Network LTD.,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[202911],['CA'],['None'],['None']
Securebit AG,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[58057],['CH'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
FeiYa Network LTD.,1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[199465],['US'],"['Media, Publishing, and Broadcasting']",['Online Informational Content']
"Nightfall Networks, LLC",1,4366,0.000229,0.003906,1393.4837651848793,3e-06,[60310],['US'],['Education and Research'],['Other']
Google LLC,221,4366,0.050618,0.003372,1393.4837651848793,2e-06,[36492],['US'],['Computer and Information Technology'],['Software Development']
M247 Europe SRL,35,4366,0.008016,0.002365,1393.4837651848793,2e-06,[9009],['RO'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Edgecast Inc.,89,4366,0.020385,0.001358,1393.4837651848793,1e-06,"[15133, 14153]",['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Incapsula Inc,80,4366,0.018323,0.001221,1393.4837651848793,1e-06,[19551],['US'],['Computer and Information Technology'],['Computer and Network Security']
HOSTKEY B.V.,4,4366,0.000916,0.000977,1393.4837651848793,1e-06,[50867],['NL'],['Computer and Information Technology'],['Hosting and Cloud Provider']
"Fly.io, Inc.",46,4366,0.010536,0.000702,1393.4837651848793,1e-06,[40509],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
John Mark Gabriel Caguicla,20,4366,0.004581,0.000534,1393.4837651848793,0.0,[200866],['PH'],['Computer and Information Technology'],['Software Development']
MD TECHNOLOGY LIMITED,2,4366,0.000458,0.000488,1393.4837651848793,0.0,[199974],['HK'],['Computer and Information Technology'],['Software Development']
LoudTronix Inc.,2,4366,0.000458,0.000488,1393.4837651848793,0.0,[205212],['CA'],['Community Groups and Nonprofits'],['Other']
Black Mesa Corporation,2,4366,0.000458,0.000488,1393.4837651848793,0.0,[46997],['US'],['Health Care Services'],['Other']
VMHaus Limited,2,4366,0.000458,0.000488,1393.4837651848793,0.0,[136620],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Hostinger International Limited,21,4366,0.00481,0.00032,1393.4837651848793,0.0,[47583],['CY'],['Computer and Information Technology'],['Software Development']
RADISHCLOUD TECHNOLOGY LLC,6,4366,0.001374,0.00032,1393.4837651848793,0.0,[201217],['US'],['None'],['None']
