org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
23M GmbH,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[47447],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
BAI Communications Inc.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[396113],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
UK On-line Agri-sales Limited,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[202235],['GB'],['Computer and Information Technology'],['None']
Ilm-Provider UG (haftungsbeschraenkt),1,4560,0.000219,1.0,1405.7533729076385,0.000711,[196968],['DE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Universitas Brawijaya,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[46019],['ID'],['Education and Research'],"['Colleges, Universities, and Professional Schools']"
RODRIGUEZ PEDRO ALBERTO JUAN,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[271991],['AR'],['None'],['None']
Okay-Telecom Ltd.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[199669],['RU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Modesco LLC,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[56434],['RU'],['Education and Research'],['Elementary and Secondary Schools']
Leaseweb Deutschland GmbH,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[28753],['DE'],['Computer and Information Technology'],['None']
Fiberocity Ltd,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[199614],['GB'],['None'],['None']
TEKNOTEL TELEKOMUNIKASYON SANAYI VE TICARET A.S.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[25145],['TR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
China Education and Research Network Center,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[4538],['CN'],['Education and Research'],"['Colleges, Universities, and Professional Schools']"
Planisware Singapore Pte. Ltd,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[150347],['SG'],['Computer and Information Technology'],['Software Development']
DNT Solutions,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[147057],['PK'],['None'],['None']
Serverel Inc.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[15317],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
ETISALAT MISR,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[36992],['EG'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
MULTIDIST SARL,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[60703],['FR'],['Computer and Information Technology'],['Software Development']
