country,as,alias_prefix_num,alias_prefix_64_num,alias_prefix_ratio,alias_prefix_64_ratio
HU,190934.0,5,4.0000152587890625,9.922721842292227e-06,1.4143991034552042e-13
ID,87720375.0,841,1117125614508.0,0.0016690018138735528,0.0395013860043448
IE,850146.0,17,196608.0,3.373725426379358e-05,6.952027953420995e-09
IL,7234400.0,173,233.0,0.0003433261757433111,8.238843348933368e-12
IN,35400465.0,777,107730578794.0,0.0015419909742922123,0.0038093363200587516
IR,205585.0,1,65536.0,1.984544368458446e-06,2.3173426511403315e-09
IT,3551876.0,411,30064773024.867188,0.0008156477354364211,0.001063085644949006
JO,113061.0,13,208.0,2.5799076789959792e-05,7.354847281451248e-12
JP,2379147.0,193,15065941901.0,0.00038301706311248,0.0005327293357359245
KG,47237.0,1,68719476736.0,1.984544368458446e-06,0.0024299098877621243
KH,39608.0,4,262144.0,7.938177473833783e-06,9.269370604561326e-09
KR,271210.0,2,8589934592.0,3.969088736916892e-06,0.00030373873597026554
LB,126009.0,3,33554433.0,5.9536331053753366e-06,1.1864794727436925e-06
LK,54003.0,3,3.0,5.9536331053753366e-06,1.0607952809785453e-13
LT,24375510.0,124,343597592658.0,0.0002460835016888473,0.01214955682823983
LV,457103.0,13,25836912643.0,2.5799076789959792e-05,0.0009135891668916439
MD,25433072.0,134,77309411433.0,0.00026592894537343174,0.0027336486274451735
MX,223984.0,16,1.0547118733938987e-15,3.175270989533513e-05,3.729444593627629e-29
MY,1240668.0,169,1448.0,0.0003353879982694773,5.1201052228564454e-11
NC,18200.0,1,1.0,1.984544368458446e-06,3.5359842699284844e-14
NL,809165637.0,37074,3681456854358.374,0.07357499791622842,0.1301757352743161
NO,663122.0,11,393221.0,2.18299880530429e-05,1.3904232706055486e-08
NP,332519.0,19,214.0,3.7706343000710464e-05,7.567006337646957e-12
NZ,3048530.0,316,646.87890625,0.0006271160204328688,2.287353637048543e-11
OM,86655.0,3,3.0,5.9536331053753366e-06,1.0607952809785453e-13
PA,990450.0,6,33685506.0,1.1907266210750673e-05,1.1911141934058159e-06
PE,555039.0,3,8589934593.0,5.9536331053753366e-06,0.0003037387360056254
PH,5376892.0,56,1573120.0,0.00011113448463367295,5.5625275747098976e-08
PK,294114.0,2,8589934592.0,3.969088736916892e-06,0.00030373873597026554
PL,939079.0,11,327681.00000000023,2.18299880530429e-05,1.1586748615544366e-08
PT,1170497.0,154,13153340146.0,0.0003056198327426006,0.00046510003853274836
QA,122934.0,14,224.0,2.7783621158418238e-05,7.920604764639806e-12
RO,11423572.0,1259,245104026106.51172,0.002498541359889183,0.00866683980808766
RU,116531448.0,1313,3257633341482.0,0.002605706755785939,0.1151894025267492
SA,544146.0,21,996.0,4.1675431737627355e-05,3.521840332848771e-11
SC,820500.0,4,4.0,7.938177473833783e-06,1.4143937079713938e-13
SE,1969514.0,1163,395331.0,0.0023080251005171723,1.3978841974150978e-08
SG,588929.0,25,8606712549.0,4.961360921146114e-05,0.00030433200189060094
SI,198644.0,1,1.3877787807814457e-17,1.984544368458446e-06,4.907163938983722e-31
SK,200222.0,1,1.3877787807814457e-17,1.984544368458446e-06,4.907163938983722e-31
TH,3788527499.0,18756,1580635800704.8765,0.03722211417480661,0.05589103327778258
TR,125839071.0,658,1249415468814.0,0.0013058301944456573,0.044179134443316274
TW,3434051431.0,26169,13224451599.65506,0.051933541578189066,0.0004676145283481088
UA,4798319.0,33,549760598019.0,6.548996415912871e-05,0.019439448268216607
US,7352445577.0,389960,13235853507076.883,0.7738929219240555,0.4680176980010162
VG,6788670.0,34,107709726723.0,6.747450852758716e-05,0.0038085989941082374
VN,69470415.0,810,12853927859.0,0.001607480938451341,0.00045451286716219526
VU,86714.0,2,4295032832.0,3.969088736916892e-06,0.00015187168532778393
ZA,138409.0,19,19.0,3.7706343000710464e-05,6.71837011286412e-13
