org_name,as_x,alias_prefix_num,alias_prefix_64_num,as_y,alias_prefix_ratio,alias_prefix_64_ratio
Petersburg Internet Network ltd.,22289595.0,643,274877906944.0,[34665],0.0012760620289187805,0.009719639551048499
Phan Nhat Nghi,5997750.0,30,103381204994.0,[199925],5.953633105375337e-05,0.0036555431466503614
Philippine Long Distance Telephone Co.,9299.0,1,1.3877787807814457e-17,[9299],1.984544368458446e-06,4.907163938983723e-31
Ping Identity Corporation,801594.0,2,131072.0,[400797],3.969088736916892e-06,4.634685302280664e-09
Planisware Singapore Pte. Ltd,300694.0,2,8589934592.0,[150347],3.969088736916892e-06,0.0003037387359702656
Playdom B.V.,243624.0,4,5.551115123125783e-17,[60906],7.938177473833783e-06,1.9628655755934893e-30
Plim Mobile Telecom LLC,8440965.0,39,685314.0,[216435],7.739723036987937e-05,2.42325952396177e-08
Plus.line AG,49224.0,4,5.551115123125783e-17,[12306],7.938177473833783e-06,1.9628655755934893e-30
Podillia-hotel PJSC,403252.0,2,131072.0,[201626],3.969088736916892e-06,4.634685302280664e-09
Portland Internet Hosting LLC,73582.0,2,33554432.0,[36791],3.969088736916892e-06,1.18647943738385e-06
PrivateSystems Networks,3297320.0,52,7.216449660063518e-16,[63410],0.00010319630715983917,2.5517252482715363e-29
Privex Inc.,210083.0,1,1.0,[210083],1.984544368458446e-06,3.535984269928485e-14
Proen Corp Public Company Limited,23884.0,1,1.3877787807814457e-17,[23884],1.984544368458446e-06,4.907163938983723e-31
Protocol Labs,40680.0,1,65536.0,[40680],1.984544368458446e-06,2.317342651140332e-09
Proximus NV,727888.0,134,463.0,[5432],0.00026592894537343174,1.6371607169768886e-11
Psychz Networks,1057576.0,26,30333874181.0,[40676],5.1598153579919584e-05,0.001072601019500058
"QTnet,Inc.",138222.0,18,228.0,[7679],3.5721798632252025e-05,8.062044135436946e-12
"Qingdao,266000",117082.0,2,0.125,[58541],3.969088736916892e-06,4.419980337410606e-15
QuadraNet Enterprises LLC,882900.0,109,16384.0,[8100],0.00021631533616197057,5.79335662785083e-10
Quickline AG,93600.0,6,4.996003610813204e-16,[15600],1.1907266210750673e-05,1.7665790180341404e-29
Qwilt Inc.,465819.0,23,1441793.0,[20253],4.564452047454425e-05,5.0981573684930004e-08
"RACKTECH CO., LTD.",3770864232.0,18402,1580635798777.8765,[204916],0.03651958546837231,0.05589103320964418
RADISHCLOUD TECHNOLOGY LLC,6237727.0,31,70844416.0,[201217],6.152087542221182e-05,2.505047405882699e-06
RETN Limited,1332296.0,148,478.0,[9002],0.00029371256653185,1.690200481025816e-11
RODRIGUEZ PEDRO ALBERTO JUAN,543982.0,2,8589934592.0,[271991],3.969088736916892e-06,0.0003037387359702656
Rage4 Networks Limited,793648.0,4,8590065664.0,[198412],7.938177473833783e-06,0.00030374337065556785
Redge Technologies sp. z o.o.,603087.0,3,196608.0,[201029],5.9536331053753366e-06,6.952027953420996e-09
"Reflected Networks, Inc.",29789.0,1,1.0,[29789],1.984544368458446e-06,3.535984269928485e-14
RegioNet Schweinfurt GmbH,179896.0,4,5.551115123125783e-17,[44974],7.938177473833783e-06,1.9628655755934893e-30
Reliance Jio Infocomm Limited,7370352.0,132,5096.0,[55836],0.00026195985663651485,1.801937583955556e-10
Renaissance Phuket Resort & Spa,38794.0,1,1.0,[38794],1.984544368458446e-06,3.535984269928485e-14
Renater,37400.0,17,17.0,[2200],3.373725426379358e-05,6.011173258878425e-13
Republican Unitary Telecommunication Enterprise Beltelecom,261183.0,39,5.412337245047638e-16,[6697],7.739723036987937e-05,1.9137939362036522e-29
"Robert Meyer trading as ""Mittwald CM Service GmbH & Co. KG""",31634.0,2,7.105427357601002e-15,[15817],3.969088736916892e-06,2.5124679367596663e-28
Roblox,113485.0,5,6.938893903907228e-17,[22697],9.922721842292227e-06,2.4535819694918617e-30
Rogers Communications Canada Inc.,64960.0,80,920.0,[812],0.00015876354947667564,3.2531055283342064e-11
Rohmad Kumiadin,67469440.0,320,9024045056.0,[210842],0.0006350541979067025,0.0003190888136914192
Royal Thai Armed Force Headquarters,38040.0,1,256.0,[38040],1.984544368458446e-06,9.052119731016922e-12
RoyaleHosting BV,212477.0,1,34359738368.0,[212477],1.984544368458446e-06,0.0012149549438810624
Rozint Ltd Co,369546.0,17,13394509824.0,[21738],3.373725426379358e-05,0.0004736277604106656
Rumahweb,14212341.0,243,3.9968028886505635e-15,[58487],0.0004822442815354023,1.4132632144273123e-28
SC ITNS.NET SRL,11941272.0,58,58.0,[205884],0.00011510357337058984,2.050870876558521e-12
SCALEWAY S.A.S.,90132.0,7,196612.0,[12876],1.3891810579209119e-05,6.952169392791793e-09
"SERVERFIELD CO., LTD.",268188.0,2,8192.0,[134094],3.969088736916892e-06,2.896678313925415e-10
SIA VEESP,86634.0,2,8589934592.0,[43317],3.969088736916892e-06,0.0003037387359702656
"SICLOUD INFORMATION TECHNOLOGY (HONGKONG) CO., LIMITED",298084.0,2,2.7755575615628914e-17,[149042],3.969088736916892e-06,9.814327877967447e-31
SIXNET OPERATION LTD,18237252.0,92,485348081664.0,[198231],0.000182578081898177,0.017161831822038696
SORACOM. INC.,263820.0,2,8589934592.0,[131910],3.969088736916892e-06,0.0003037387359702656
STARK INDUSTRIES SOLUTIONS LTD,6893935.0,155,47328375305.0,[44477],0.0003076043771110591,0.0016735239059975176
SYN LTD,128160.0,2,8589934592.0,[64080],3.969088736916892e-06,0.0003037387359702656
"Salesforce.com, Inc.",14340.0,1,1.3877787807814457e-17,[14340],1.984544368458446e-06,4.907163938983723e-31
