org_name,as_x,alias_prefix_num,alias_prefix_64_num,as_y,alias_prefix_ratio,alias_prefix_64_ratio
FENGYE NETWORKS LIMITED,135489.0,1,65536,[135489],0.00016084928422068523,4.152142712585082e-09
FIBERTEL PERU S.A.,266732.0,1,4294967296,[266732],0.00016084928422068523,0.00027211482481197594
Fantasy Sky Internet eXchange,417219.0,3,3211264,[139073],0.00048254785266205565,2.03454992916669e-07
"Fastly, Inc.",9253323.0,171,6454444032,[54113],0.02750522760173717,0.00040893207933436696
Fatima Cuenca,2960216.0,14,60129542144,[211444],0.0022518899790895932,0.003809607547367663
FeiYa Network LTD.,398930.0,2,50331648,[199465],0.00032169856844137045,3.1888456032653426e-06
Ferdinand Zink trading as Tube-Hosting,247905.0,5,137455730688,[49581],0.0008042464211034261,0.00870873734251765
Fiberocity Ltd,798456.0,4,10737418240,[199614],0.0006433971368827409,0.0006802870620299398
Fibrebay Network LLC,121878.0,2,34359738368,[60939],0.00032169856844137045,0.0021769185984958075
First Root UG (haftungsbeschraenkt),41108.0,1,4294967296,[41108],0.00016084928422068523,0.00027211482481197594
"Fly.io, Inc.",2187486.0,54,3538944,[40509],0.008685861347917002,2.2421570647959442e-07
FranTech Solutions,5796036.0,108,99505930240,[53667],0.017371722695834004,0.006304364366226433
Free Range Cloud Hosting Inc.,693628.0,13,4330160128,[53356],0.002091040694868908,0.00027434452544863414
GLOBAL INTERNET SOLUTIONS LLC,207713.0,1,65536,[207713],0.00016084928422068523,4.152142712585082e-09
GLOBAL-ICT HONGKONG CO.LIMITED,138190.0,1,65536,[138190],0.00016084928422068523,4.152142712585082e-09
GTHost,126046.0,2,68719476736,[63023],0.00032169856844137045,0.004353837196991615
GTT Communications Inc.,3257.0,1,34359738368,[3257],0.00016084928422068523,0.0021769185984958075
GalaxyStar LLC,1034365.0,5,17179934720,[206873],0.0008042464211034261,0.0010884634513906163
Garant-Plus-Inform LLC,201836.0,1,65536,[201836],0.00016084928422068523,4.152142712585082e-09
Genc BT Bilisim Teknolojileri Limited Sirketi,1049140.0,5,77309476864,[209828],0.0008042464211034261,0.004898070998758279
Getechbrothers,150445.0,1,4294967296,[150445],0.00016084928422068523,0.00027211482481197594
Global Layer B.V.,148359.0,3,196608,[49453],0.00048254785266205565,1.2456428137755245e-08
Google LLC,8648604.0,237,22872064,[36492],0.0381212803603024,1.4490978066921935e-06
H4Y Technologies LLC,397373.0,1,65536,[397373],0.00016084928422068523,4.152142712585082e-09
HOSTKEY,1187517.0,3,103079215104,[395839],0.00048254785266205565,0.006530755795487422
HOSTKEY B.V.,374597.0,7,103083409408,"[50867, 57043]",0.0011259449895447966,0.006531021532621028
HZ Hosting Ltd,59711.0,1,65536,[59711],0.00016084928422068523,4.152142712585082e-09
HighEndNetwork LLC,406566.0,2,327680,[203283],0.00032169856844137045,2.076071356292541e-08
Hivelocity Inc,919755.0,15,12944801792,[61317],0.002412739263310278,0.0008201395328752305
Hoang Phi Hai,200250.0,1,4294967296,[200250],0.00016084928422068523,0.00027211482481197594
Host-Engine.com,30399.0,1,4294967296,[30399],0.00016084928422068523,0.00027211482481197594
